Title,Genre,Score,Release Date,Budget,Revenue,Duration
Gabriel's Inferno,['Romance'],85.0,29/05/2020,-,-,2.03
Grave of the Fireflies,['Animation'],85.0,16/04/1988,"3,700,000.00","516,962.00",1.48
Bring the Soul: The Movie,['Music'],84.0,07/08/2019,-,-,1.75
Impossible Things,['Family'],84.0,17/06/2021,-,-,1.47
Psycho,['Horror'],84.0,22/06/1960,"806,947.00",-,1.82
Fight Club,['Drama'],84.0,24/02/2000,"63,000,000.00","100,853,753.00",2.32
Once Upon a Time in America,['Drama'],84.0,28/09/1984,"30,000,000.00","5,500,000.00",3.82
City of God,['Drama'],84.0,20/03/2003,"3,300,000.00","30,641,770.00",2.17
Gabriel's Inferno: Part II,['Romance'],84.0,31/07/2020,-,-,1.75
Dou kyu sei – Classmates,['Romance'],84.0,20/02/2016,-,-,1.02
One Flew Over the Cuckoo's Nest,['Drama'],84.0,19/11/1975,"3,000,000.00","108,981,275.00",2.22
Harakiri,['Action'],84.0,15/09/1962,-,-,2.25
The Quintessential Quintuplets Movie,['Animation'],84.0,20/05/2022,-,"17,288,993.00",2.27
Interstellar,['Adventure'],84.0,06/11/2014,"165,000,000.00","701,729,206.00",2.82
Gabriel's Inferno: Part III,['Romance'],84.0,19/11/2020,-,-,1.75
Spider-Man: Into the Spider-Verse,['Action'],84.0,13/12/2018,"90,000,000.00","375,464,627.00",1.95
A Dog's Will,['Comedy'],84.0,15/09/2000,-,"4,903,192.00",1.73
A Silent Voice: The Movie,['Animation'],84.0,17/09/2016,-,"30,156,463.00",2.17
The Lord of the Rings: The Fellowship of the Ring,['Adventure'],84.0,17/01/2002,"93,000,000.00","871,368,364.00",2.98
Howl's Moving Castle,['Fantasy'],84.0,19/11/2004,"24,000,000.00","236,049,757.00",1.98
The Empire Strikes Back,['Adventure'],84.0,21/05/1980,"18,000,000.00","538,400,000.00",2.07
Hope,['Drama'],84.0,02/10/2013,-,-,2.03
Burn the Stage: The Movie,['Music'],84.0,15/11/2018,-,-,1.42
The Lord of the Rings: The Two Towers,['Adventure'],84.0,18/12/2002,"79,000,000.00","926,287,400.00",2.98
The Pianist,['Drama'],84.0,25/12/2002,"35,000,000.00","120,072,577.00",2.5
Whiplash,['Drama'],84.0,10/10/2014,"3,300,000.00","13,092,000.00",1.78
Hotarubi no Mori e,['Romance'],84.0,17/09/2011,-,-,0.75
Se7en,['Crime'],84.0,07/02/1996,"33,000,000.00","327,311,859.00",2.12
Inception,['Action'],84.0,22/07/2010,"160,000,000.00","825,532,764.00",2.47
"The Boy, the Mole, the Fox and the Horse",['Animation'],84.0,02/12/2022,-,-,0.57
Rear Window,['Thriller'],84.0,01/09/1954,"1,000,000.00","37,034,514.00",1.87
Neon Genesis Evangelion: The End of Evangelion,['Animation'],84.0,19/07/1997,-,"20,000,000.00",1.45
Sunset Boulevard,['Drama'],84.0,10/08/1950,"1,752,000.00","5,000,000.00",1.83
American History X,['Drama'],84.0,30/10/1998,"20,000,000.00","23,875,127.00",1.98
One Direction: This Is Us,['Documentary'],83.0,30/08/2013,"10,000,000.00","68,500,000.00",1.53
High and Low,['Crime'],83.0,01/03/1963,"250,000.00",-,2.37
The Silence of the Lambs,['Crime'],83.0,14/02/1991,"19,000,000.00","272,742,922.00",1.98
Princess Mononoke,['Adventure'],83.0,12/07/1997,"23,500,000.00","169,000,000.00",2.23
"Red, White & Royal Blue",['Comedy'],83.0,10/08/2023,-,-,2.02
"Josee, the Tiger and the Fish",['Animation'],83.0,25/12/2020,-,-,1.63
The Godfather,['Drama'],87.0,14/03/1972,"6,000,000.00","245,066,411.00",2.92
The Shawshank Redemption,['Drama'],87.0,23/09/1994,"25,000,000.00","28,341,469.00",2.37
The Godfather Part II,['Drama'],86.0,20/12/1974,"13,000,000.00","102,600,000.00",3.37
Schindler's List,['Drama'],86.0,17/03/1994,"22,000,000.00","321,365,567.00",3.25
Dilwale Dulhania Le Jayenge,['Comedy'],86.0,20/10/1995,"13,200,000.00","100,000,000.00",3.17
Spirited Away,['Animation'],85.0,13/02/2003,"19,000,000.00","274,925,095.00",2.08
12 Angry Men,['Drama'],85.0,10/04/1957,"350,000.00","1,000,000.00",1.62
Your Name.,['Romance'],85.0,26/08/2016,-,"357,986,087.00",1.77
Parasite,['Comedy'],85.0,30/05/2019,"11,363,000.00","257,591,776.00",2.22
The Dark Knight,['Drama'],85.0,24/07/2008,"185,000,000.00","1,004,558,444.00",2.53
The Green Mile,['Fantasy'],85.0,31/05/2001,"60,000,000.00","286,801,374.00",3.15
Pulp Fiction,['Thriller'],85.0,03/11/1994,"8,500,000.00","213,900,000.00",2.57
Forrest Gump,['Comedy'],85.0,03/11/1994,"55,000,000.00","677,387,716.00",2.37
The Lord of the Rings: The Return of the King,['Adventure'],85.0,08/01/2004,"94,000,000.00","1,118,888,979.00",3.35
